Armazém de Dados,,,,,,,
,,,,,,,
"Quadro 351 - Patrimônio histórico, artístico e cultural - bens tombados, por localização e esferas de governo, segundo as Regiões Administrativas e Bairros - 2004",,,,,,,
,,,,,,,
Regiões,,,, Esfera de Governo,,,
Administrativas,Bairros,Identificação,Localização,Nac.,Est.,Mun.,
,,Imóvel,"R. Paissandu, 288 ",,*,,
,,Imóvel,"R. Belizário Távora, 158 ",,,*,
,,Imóvel,"R. Gago Coutinho, 51 ",,,*,
,,Imóvel,"R. das Laranjeiras, 110 ",,,*,
,,Imóvel,"R. Paissandu, 319 ",,,*,
,,"Imóvel, esquina da Rua Ipiranga ","R. Esteves Júnior, 78",,*,,
,,Instituto Ganesha de Cultura Oriental,"R. Mário Portela, 49",,*,,
,,Katita Shop,"R. Esteves Junior, 28 ",,*,,
,,Lojas Distac,"R. das Laranjeiras, 301",,*,,
,,Mercearia Águia Branca,"R. Ipiranga, 121",,*,,
,,"Oficina de automóveis, esquina da Rua Ipiranga ","R. Esteves Júnior, 51 a 57 ",,*,,
,,Oficinas de automóveis,"R. Ipiranga, 65 e 67 ",,*,,
,,Padaria Princesa das Laranjeiras,"R. das Laranjeiras, 404 ",,*,*,
,,Panificação Aliança,"R. Mário Portela, 27 ",,*,,
,,Papelaria Tiny,"R. das Laranjeiras, 400 ",,*,*,
,,Pé de Boi Artesanato,"R. Ipiranga, 55",,*,,
,,Prev Urmes,"R. Esteves Júnior, 4 ",,*,,
,,Residência do Conde Modesto Leal,"R. das Laranjeiras, 304 ",,*,,
,,"Restaurante ""O Cortiço""","R. das Laranjeiras, 20 ",,*,,
,,Restaurante Carne do Sol,"R. Ipiranga, 54",,*,,
,,Restaurante Luigi,"R. Senador Corrêa, 10",,*,,
,,Saúde e Forma,"R. Esteves Júnior, 26 ",,*,,
,,Tecnisan,"R. Ipiranga, 51 ",,*,,
,,Tinturaria São Luiz,"R. Ipiranga, 92 ",,*,,
,,Vila Avenida do Ipiranga,"R. Ipiranga, 96 ",,*,,
,,Vila Olga,"R. das Laranjeiras, 390 ",,*,*,
,,Yellow Pencil Papelaria,"R. das Laranjeiras, 392 ",,*,*,
,,,,,,,
,Catete,Museu do Folclore,"R. do Catete, 181",,*,,
,,C.E. Amaro Cavalcanti,"Largo do Machado, 20",,,*,
,,Conjunto Arquitetônico,"R. do Catete, 126 a 196 e 179 a 187",*,,,
,,Palácio do Catete,"R. do Catete, 179",*,,,
,,Ant. Faculdade de Direito do RJ (prédio),"R. do Catete, 243",,,*,
,,Imóvel ( 9ª Delegacia da Polícia Civil),"R. Pedro Américo, 1",,,*,
,,,,,,,
,Cosme Velho,O Morro do Corcovado,Morro do Corcovado,*,,,
,,Bica da Rainha,"R. Cosme Velho, 109",*,,,
,,Est. Cosme Velho da Estr. de F. Corcovado,"R. Cosme Velho, s/nº",,*,,
,,Largo e Beco do Boticário,"R. Cosme Velho, próximo ao nº 22",,*,,
,,Casa de Cecília Meirelles,"R. Smith de Vasconcelos, 30",,,*,
,,,,,,,
,Botafogo,Conjunto Arquitetônico,"R. Prof. Alfredo Gomes, 8, 12, 14, 21, 22, 25,",,,,
,,,"27, 28, 29, 31, 32, 36 e 37",,,*,
,,Solar,"R. Bambina, 25",,,*,
,,Casa ,"R. Bambina, 59",,,*,
,,Casa ,"R. Bambina, 118  (antigo 68)",,,*,
,,Casa,"R. Bambina, 123",,,*,
,,Casa (parte Conj. Arq. R. Prof. A. Gomes),"R. Bambina, 135",,,*,
,,Casa (parte Conj. Arq. R. Prof. A. Gomes),"R. Muniz Barreto, 730 e 810",,,*,
,,Palacete,"R. General Severiano, 90",,,*,
,,Casa,"R. Voluntários da Pátria, 117",,,*,
,,Casa,"R. Eduardo Guinle, 36",,,*,
,,Casa,"R. Eduardo Guinle, 57",,,*,
,,Casa,"R. Visconde Silva, 58",,,*,
,,Casa,"R. Guilhermina Guinle, 151",,,*,
,,Casa,"R. Clarice Índio do Brasil, 19",,,*,
,,Chalé Olinda,Parte da casa de saúde Dr. Eiras R. Assunção 2,,,*,
,,Sobrado,"R. Vicente de Souza, 25",,,*,
,,Museu dos Teatros,"R. São João Batista, 105",,,*,
,,Palacete,"R. Real Grandeza, 87",,,*,
,,Palacete,"R. Dona Mariana, 19",,,*,
,,Casas Geminadas sobre Porão,"R. Dona Mariana, 21/23",,,*,
,,Palacete,"R. Dona Mariana, 41",,,*,
,,Consulado do Líbano,"R. Dona Mariana, 44",,,*,
,,Palacete,"R. Dona Mariana, 56",,,*,
,,Casa Sen. Afonso Arinos de Mello Franco ,,,,,
,,e o Acervo Bibliográfico e Documental,"R. Dona Mariana, 63",,,*,
,,Sobrado,"Praia de Botafogo, 184",,,*,
,,Árvore da espécie ''Pau Ferro'',"R. Marquês de Olinda, 64",,,*,
,,Palacete,"R. Mundo Novo, 482",,,*,
,,Casa,"R. Martins Ferreira, 60",,,*,
,,Conjunto Arquitetônico e Urbanístico,"R. Martins Ferreira, 12 a 88  e 19 a 79",,*, ,
,,Casa de Saúde Dr. Eiras,"R. Assunção, 2",,,*,
,,Igreja da Imaculada Conceição,"Praia de Botafogo, 266",*,,,
,,Palacete,"Praia de Botafogo, 530",,,*,
,,Espelho D'água da Enseada de Botafogo,Enseada de Botafogo,,,*,
,,Pórtico do Cemitério de São João Batista,"R. Gal. Polidoro, s/nº",,,*,
,,Educandário Santa Teresa,"R. Lauro Sodré, 150",,,*,
,,Casas Geminadas,"R. das Palmeiras, 7 e 9",,,*,
,,Residência,"R. das Palmeiras, 35",*,,,
,,Museu do Índio,"R. das Palmeiras, 55",*,,*,
,,Vila,"R. da Passagem, 46/48/50",,,*,
,,Bairro Abrunhosa,"R. da Passagem, 161/163/165",,,*,
,,Igreja Anglicana,"R. Real Grandeza, 99",,,*,
,,Ant. Colégio Jacobina (fach. do prédio),"R. São Clemente, 117",,,*,
,,Fundação Casa de Rui Barbosa,"R. São Clemente, 134",*,,,
,,Igreja e Colégio Santo Inácio,"R. São Clemente, 240",,,*,
,,Apartamentos George,"R. São Clemente, 241/243/245",,,*,
,,Palacete,"R. São Clemente, 284",,,*,
,,Palácio da Cidade,"R. São Clemente, 360",,,*,
,,Palacete,"R. São Clemente, 388",,,*,
,,Prédio do Gurilândia Clube Infantil,"R. São Clemente, 408",,,*,
,,Museu Villa-Lobos (residência),"R. Sorocaba, 200",*,,,
,,Botafogo Futebol e Regatas (antiga sede),"Av. Venceslau Brás, 72",,,*,
,,Vila,"R. Visconde de Caravelas, 38",,,*,
,,Igreja Matriz de São João Batista,"R. Voluntários da Pátria, 287",,,*,
,,Solar,"R. São Clemente, 300",,,*,
,,Residência sobre Porão Habitável,"R. São Clemente, 379",,,*,
,,Palacete,"R. São Clemente, 385",,,*,
,,Sobrados de Dois Pavimentos sobre Porão,"R. Voluntários da Pátria, 194, 196 e 198",,,*,
,,Casa,"R. Voluntários da Pátria, 423",,,*,
,,Sobrado,"R. Voluntários da Pátria, 455",,,*,
,,Sobrado sobre Porão Habitável,"R. Voluntários da Pátria, 107",,,*,
,,Casa,"R. São João Batista, 104",,,*,
,,Vila,"R. Real Grandeza, 182",,,*,
,,Capela Nossa Senhora da Piedade,"R. Marquês de Abrantes, 215",,*,,
,,Educandário Santa Tereza,"R. Lauro Sodré, 150",,,*,
,,Igreja Santa Teresinha,R. Lauro Sodré,,,*,
,,Colégio Andrews,"Praia de Botafogo, 308",,,*,
,,Morro da Babilônia,R. Ramon Castilla (acesso),*,,,
,,Jardim de Infância Mal. Hermes (prédio),"R. Capistrano de Abreu, 1",,*,,
,,"Busto, Boccage",Pça. Bariloche ,,,*,
,,"Estátua: A Primavera; Estátua: Hígia, cópia da ",,,,,
,,Antigüidade; Chafariz; Vaso com Chafariz,"R. Assunção, 2",,,*,
,,Estátua: Manequinho,"Av. Venceslau Brás, em frente ao n° 72 ",,,*,
,,Vasos Ornamentais (2),"R. São Clemente, 360 ",,,*,
,,"Estátuas (3): Crepúsculo, Poesia e Maternidade",Praia de Botafogo  ,,,*,
,,Casa,"R. Clotilde Guimarães, 2 ",,,*,
,,Casa,"R. Capistrano de Abreu, 45 ",,*,,
,,Casa,"R. Dona Mariana, 56 ",,,*,
,,Casa de Afonso Arinos de Mello Franco,"R. Dona Mariana, 63 ",,,*,
,,Casa de Espetáculos Canecão,"Av. Venceslau Brás, 215 ",,*,,
,,Casa,"R. General Severiano, 90 ",,,*,
,,Casa,"R. Martins Ferreira, 60 ",,,*,
,,Casa,"R. Voluntários da Pátria, 423 ",,,*,
,,Chafariz,Pça. Nicarágua  ,,,*,
,,Conjunto Arquitetônico e Urbanístico,"R. Martins Ferreira, 23, 25, 47, 55, 61, 63, 71, 73, 77, 12,",,,,
,,," 24, 30, 32, 38, 40, 44, 46, 48, 50, 60, 76, 78, 80, 82 e 88 ",,*,,
,,Edificação,"R. Fernando Ferrari, 61 ",,,*,
,,Edificação,"R. General Severiano, 170 ",,,*,
,,Edificação,"R. Jornalista Orlando Dantas, 13 e 15 ",,,*,
,,Edificação,"R. Principado de Mônaco, 134 ",,,*,
,,Edificação,"R. Visconde de Caravelas, 74 ",,,*,
,,Edificações,"R. Álvaro Ramos, 337; 341 (Vila casas 1, 2, 3, 4,",,,,
,,," 5, 6, 7, 8); 347 ",,,*,
,,Edificações,"R. Elvira Machado, 4, 6, 8 e 10 ",,,*,
,,Edificações,"R. Voluntários da Pátria, 32 (32-A, 32-B, 32-C); 34 ",,,,
,,,"(Vila - Casas 1 a 24) ; 36 (36-A, 36-B) ",,,*,
,,Edifício Mesbla II,"R. General Polidoro, 74 ",,,*,
,,Educandário da Misericórdia,"R. São Clemente, 446 ",,,*,
,,Imóveis,"R. Capistrano de Abreu, 14 e 16 ",,*,,
,,Imóvel,"R. São Clemente, 175 ",,,*,
,,Imóvel,"R. Voluntários da Pátria, 457 ",,,*,
,,Monumento ao Almirante Tamandaré,Praia de Botafogo  ,,,*,
,,Sede da Fundação Getúlio Vargas,"Praia de Botafogo, 190 ",,,*,
,,Viaduto Santiago Dantas,Praia de Botafogo  ,,,*,
,,"Vila - fundos (casas: 1, 2, 3 e 4) ","R. Dona Mariana, 133",,,*,
,,,,,,,
,Humaitá,Sobrado,"Largo dos Leões, 70",,,*,
,,Sobrado,"Largo dos Leões, 80",,,*,
,,Palacete,"R. Gal. Dionísio, 53",,,*,
,,Vila,"R. Humaitá, 102",,,*,
,,Quartel do Corpo de Bombeiros,"R. Humaitá, 126",,,*,
,,Educ. de Lourdes S.C. da Misericórdia,"R. São Clemente, 446",,,*,
,,Monumento ao Cristo Redentor,Morro do Corcovado,,,*,
,,Estátua: Harmonia,Largo dos Leões 70 ,,,*,
,,,,,,,
,Urca,Amurada e ponte,Amurada da Urca e Pte. sobre a Av. Portugal,,,*,
,,Portão da Fortaleza de São João,Fortaleza de São João,*,,,
,,Antigo Cassino da Urca (prédio),"Av. João Luís Alves, 13",,,*,
,,"Morros do Pão de Açúcar, da Urca, ",,,,,
,,Cara de Cão e Babilônia,Entr. da Baía de Guanabara,*,,,
,,Palácio Universidade do Brasil,"Av. Pasteur, 250",*,,,
,,Prédio da Fundação José Bonifácio,"Av. Pasteur, 280",*,,,
,,Instituto de Mineralogia - CPRM,"Av. Pasteur, 404",,,*,
,,E.M. Minas Gerais,"Av. Pasteur, 433",,,*,
V Copacabana,,20,,2,7,11,
,Leme,Forte Duque de Caxias,Morro do Leme,,,*,
,,Morro da Babilônia,Ladeira Ary Barroso (acesso),*,,,
,,,,,,,
,Copacabana,Copacabana Palace Hotel,"Av. Atlântica, 1.702 e Av. N. S. de Copacabana, 291",*,*,*,
,,"Forte Copacabana, Pontas de", ,,,,
,,Copacabana e Arpoador,,,,,
,,Casa de Villiot ,"R. Sá Ferreira, 80",,,*,
,,Edifício Guarujá,"R. Domingos Ferreira, 187",,,*,
,,Edifício Guahy,"R. Ronald de Carvalho, 181",,,*,
,,Conjunto  Urbano-Paisagístico,"Av. Atlântica, s/nº",,*,,
,,Instituto Nacional de Serviço Social,"R. Xavier da Silveira, 75",,,*,
,,Árvores nos Fundos do Edifício América,"R. Ministro Viveiros de Castro, 110",,,*,
,,"Cinemas Roxy 1, 2, 3 ","Av. Nossa Senhora de Copacabana, 945-A ",,,*,
,,Edifício,"R. Francisco Otaviano, 33 ",,*,,
,,Ilhas Cagarras,Entrada da Baía de Guanabara,,,*,
,,Imóvel,"R. Xavier da Silveira, 75 ",,,*,
,,Muralha e Arcos,"Ladeira Coelho Cintra, junto ao 63 ",,*,,
,,Parque Estadual da Chacrinha,Ladeira Coelho Cintra ,,*,,
,,Reservatório do Cantagalo (1930) ,R. Professor Gastão Baiana  ,,*,,
,,Sede do Seviço Social do Comércio - SESC ,"R. Domingos Ferreira, 160 ",,,*,
,,Teatro do Hotel Copacabana Palace,"Av. Atlântica, 1702 ",,*,,
VI   Lagoa,,88,,9,17,62,
,Ipanema,Chafariz das Saracuras,Praça General Osório,*,,,
,,Jardim Chapeuzinho Vermelho,"R. Prudente de Moraes, 1.365",,,*,
,,Igreja N.S. da Paz,"R. Visconde de Pirajá, 339",,,*,
,,Pedra do Arpoador,Praia do Arpoador,,,*,
,,Conjunto Urbano Paisagístico,"Av. Vieira Souto, s/nº",,*,,
,,Banda de Ipanema,,,,*,
,,Colégio São Paulo (Congregação das Irmãs ,,,,,
,,Angélicas de São Paulo) ,"R. Joaquim Nabuco, 267",,,*,
,,E. M. Henrique Dodsworth,Av. Epitácio Pessoa,,,*,
,,Imóveis,"R. Henrique Dumont, 57 e 170",,,*,
,,Imóveis,"R. Prudente de Moraes, 65, 814, 1062, 1072 e 1356 ",,,*,
,,Imóveis,"R. Rainha Elizabeth, 540, 601 e 729 ",,,*,
,,Imóvel,"R. Almirante Saddock de Sá, 169 ",,,*,
,,Imóvel,"R. Aníbal de Mendonça, 31",,,*,
,,Imóvel,"R. Barão da Torre, 42 ",,,*,
,,Imóvel,"R. Farme de Amoedo, 54 ",,,*,
,,Imóvel,"R. Garcia d’Ávila, 58 ",,,*,
,,Imóvel,"R. Maria Quitéria, 23 ",,,*,
,,Imóvel,"R. Nascimento Silva, 107 ",,,*,
,,Imóvel,"Av. Vieira Souto, 234 ",,,*,
,,Imóvel,"R. Visconde de Pirajá, 54 ",,,*,
,,Praça General Osório,Pça. General Osório  ,,,*,
,,,,,,,
,Leblon,Conjunto Urbano Paisagístico,"Av. Delfim Moreira, s/nº",,*,,
,,Grupo Integrado Magdalena Kahn-GIMK,"Av. Visconde de Albuquerque, 552",,,*,
,,Casa,"Av. Visconde de Albuquerque, 1165 ",,,*,
,,Cinema Leblon,"Av. Ataulfo de Paiva, 391 a 397 ",,,*,
,,Clube Monte Líbano,"Av. Borges de Medeiros, 701 ",,,*,
,,Escadaria,R. General Urquisa ,,,*,
,,Fachado do Hotel Leblon,"Av. Niemeyer, 2 ",,,*,
,,Imóvel,"Pça. Almirante Belfort Vieira, 6 ",,,*,
,,Imóvel,"Pça. Baden Powell, 862 ",,,*,
,,Jardim de Alah e Praças Alm. Saldanha da ,,,,,
,,"Gama, Grécia e Poeta Gibran",,,,*,
,,Mobiliário Urbano designado como,,,,,
,, 'Quiosque Baixo Bebê',Av. Delfin Moreira (em frente à R. Venâncio Flores),,,*,
,,Morro Dois Irmãos e Pedra da Gávea,Estrada da Gávea ,*,*,,
,,Praça Atahualpa e as pontes sobre o canal,Av. Visconde de Albuquerque,,,*,
,,Prédio da CEG,"R. Almirante Guilhem, 421 ",,,*,
,,Residência de Leonel Miranda,"Av. Visconde de Albuquerque, 1225 ",,,*,
,,,,,,,
,Lagoa,Hospital da Lagoa,"R. Jardim Botânico, 501",,*,,
,,Edifício da Obra do Berço,"R. Cícero Góis Monteiro, 19",,*,,
,,Imóvel,"R. Lopes Quintas, 497",,*,,
,,Escola Municipal H. Dosworth,"Av. Epitácio Pessoa, esquina R. Redentor",,,*,
,,Bar e Rest. Lagoa (prédio de aptos.),"Av. Epitácio Pessoa, 1.674",,,*,
,,Espelho D'água ,Lagoa Rodrigo de Freitas,,,*,
,,Monumento a Quintino Bocaiúva,Praça Gal. Alcio Souto,,*,,
,,,,,,,
,Jardim Botânico,Capela de N.S. da Cabeça,"R. Faro, 80",*,,,
,,Figueira,"R. Faro, em frente ao nº 51",,,*,
,,Parque Henrique Lage,"R. Jardim Botânico, 414",*,*,,
,,J. Botânico do Rio de Janeiro,"R. Jardim Botânico, 920",*,,,
,,Conjunto de Imóveis,V. Operária Chácara Algodão,,,*,
,,Estátua: Cavalo Inglês Dollar e ,,,,,
,,Cabeças de Cavalo (2),"R. Jardim Botânico, 1003",,,*,
,,Fontes Wallace modelo mural (7); ,,,,,
,,fontes (2): A Fonte e A Moça com a Concha,"R. Jardim Botânico, 1008 ",,,*,
,,Antiga escola da Fábrica de Tecidos Carioca ,,,,,
,,e Casa do Gerente,"R. Corcovado, 250 e 252",,,*,
,,Casa,"R. Jardim Botânico, 725 ",,,*,
,,Casas de vila,"R. Jardim Botânico, 729",,,*,
,,Casas,"R. Jardim Botânico, 211 e 221 ",,,*,
,,Hípica - Sociedade Hípica Brasileira ,"R. Jardim Botânico, 421 ",,,*,
,,Horto Florestal,"R. Pacheco Leão, 2040",*,,,
,,Hospital da Lagoa,R. Jardim Botânico  ,,,*,
,,Imóvel,"R. Lopes Quintas, 497 ",,*,,
,,Imóvel,"R. Benjamim Batista, 180 ",,,*,
,,Imóvel,"R. Faro, 17 ",,,*,
,,Imóvel,"R. Getúlio das Neves, 22 ",,,*,
,,Imóvel,"R. Nina Rodrigues, 117 ",,,*,
,,Represa do Rio Cabeças (1892) ,,,*,,
,,Reservatótio dos Macacos e Açude (1877) ,"R. Pacheco Leão, 2038 ",,*,,
,,,,,,,
,Gávea,Solar Grandjean de Montigny,"R. Marquês de São Vicente, 233",*,,,
,,Jequitibá,"R. Marquês de São Vicente, 389",,,*,
,,Chalé,"R. Marquês de São Vicente, 432",,,*,
,,Parque da Gávea ou da Cidade,"Estrada Santa Marinha, s/nº",,*,,
,,E.M. Júlio de Castilhos,"Praça Santos Dumont, 96",,,*,
,,E.M. Luiz Delfino,"R. Marquês de São Vicente, 238",,,*,
,,Conjunto edificado Hipódromo da Gávea,Praça Santos Dumont,,,*,
,,E.M. Manoel Cícero,"Praça Santos Dumont, s/nº",,,*,
,,Morro Dois Irmãos e Pedra da Gávea,Estrada da Gávea,*,*,,
,,Fonte wallace,"Estrada Santa Marinha, s/nº",,,*,
,,Estátuas (2): Índio e Lampadário,"Estrada Santa Marinha, s/nº",,,*,
,,Aquarela 'Vista Interior da Praça do Comércio',"Estrada Santa Marinha, s/nº",,*,,
,,Casa da Gávea,"Pça. Santos Dumont, 116 ",,,*,
,,Conj. Res. Marquês de São Vicente,"R. Padre Leonel Franca, s/nº ",,,*,
,,Residência de Prudente de Morais Neto,"R. Inglês de Souza, 56 ",,,*,
,,,,,,,
,São Conrado,Marco V das Sesmarias da Tijuca,"Estrada do Joá, 690",,*,,
,,Casa ,"Estrada das Canoas, 2.310",,*,,
,,Morro Dois Irmãos e Pedra da Gávea,Av. Niemeyer,*,*,*,
,,Rampas de decolagem de asa delta  ,Morro da Pedra Bonita,,,*,
VII São Cristóvão, ,19,,5,5,9,
,São Cristóvão,Est. Barão de Mauá da E.F. Leopoldina,"R. Francisco Bicalho, s/nº",,*,,
,,Sede e Campus do Observatório Nacional,"R. General Bruce, 586",*,*,,
,,Hospital Frei Antônio,"Pça. Mário Nazaré, s/nº",,,*,
,,Casa da Marquesa de Santos ,"Av. Pedro II, 283",*,,,
,,Quinta da Boa Vista e Paço de S. Cristóvão,Quinta da Boa Vista,*,,,
,,Coreto,Campo de São Cristóvão,,*,,
,,E.M. Floriano Peixoto,"Praça Argentina, 20",,,*,
,,E.M. Nilo Peçanha,"Av. Pedro II, 363",,,*,
,,E.M. Gonçalves Dias,"Campo de São Cristóvão, 115",,,*,
,,Candelabros incompletos (2); colunas com ,,,,,
,,vasos (2) e escada,Quinta da Boa Vista  ,,,*,
,,Par de vasos ornamentais (3),"Avenida Pedro II, 283",,,,
,,Coleção arqueológica Balbino de Freitas ,"Avenida Pedro II, s/nº (Museu Nac. da Quinta da Boa Vista)",*,,,
,,Estação Ferroviária São Cristóvão,"Avenida Oswaldo Aranha, 680 ",,,*,
,,Reservatório da Quinta da Boa Vista (1867) ,Rua Mineira  ,,*,,
,,Reservatório do Pedregulho (1880) ,,,,,
,,(Est. Elev. e de Trat. de Água de São Cristóvão),"Rua Marechal Jardim, 455 ",,*,*,
,,"Torah constituída por nove rolos em pergaminho, ",,,,,
,,sob clasificação de 'MANUSCRITOS IVRIIM’ ,"Avenida Pedro II, s/nº ",*,,,
,,,,,,,
,Benfica,E.M. Uruguai,"R. Ana Neri, 192",,,*,
,,C. Resid. Mendes de Moraes (Pedregulho),"R. Capitão Félix, 50",,,*,
VIII  Tijuca,,49,,7,4,38,
,Tijuca,Avenida Marina e Avenida Anna (Vilas),"R. Barão  de Mesquita, 117 e 127",,,*,
,,Sobrados,"R. Barão de Mesquita, 119 e 125",,,*,
,,Lápide Tumular de Estácio de Sá e ,,,,,
,,Marco de Fundação da Cidade,"R. Haddock Lobo, 266",*,,,
,,Conjunto Industrial da Hanseática - Brahma,"R. José Higino, 115",,,*,
,,Instituto de Educação (prédio),"R. Mariz e Barros, 273",,*,*,
,,Casa Granado,"R. Conde de Bonfim, 300",,,*,
,,Palacete ,"R. Conde de Bonfim, 824",,,*,
,,Pedra da Babilônia,R. S. Francisco Xavier c/ R. Barão de Mesquita,,,*,
,,"Urostigma (""Figueira Brava"")","R. Mariz e Barros, em frente ao nº 678",,*,,
,,E.M. Mário da Veiga Cabral,"Av. Mello Matos, 34",,,*,
,,E.M. Prudente de Morais,"R. Enes de Souza, 36",,,*,
,,Vila,"Praça Hilda, 11",,,*,
,,Sede do Colégio Militar e Pedra da Babilônia,"R. São Francisco Xavier, 267",,,*,
,,Estátuas (2): A Aurora e O Crepúsculo,"R. Conde de Bonfim, 457 ",,,*,
,,Estátuas (2): A Leitura e A Escrita;,,,,,
,,par de vasos ornamentais (2),"R. São Francisco Xavier, 95 ",,,*,
,,Casa,"R. Pardal Mallet, 22 ",,,*,
,,Chafariz,Pça. Comandante Xavier de Brito  ,,,*,
,,Colégio Batista Brasileiro,"R. Conde de Bonfim, 743 ",,,*,
,,Colégio Batista Shepard,"R. José Higino, 416 ",,,*,
,,Colégio Marista São José,"R. Barão de Mesquita, 164",,,*,
,,"Conjunto de árvores (70 goiabeiras, 5 palmeiras ",,,,,
,,"imperiais, 1 mogno, 4 coqueiros, 2 mangueiras, ",,,,,
,,"1 cajazeira, 1 caramboleira, 1 ipê branco e ",,,,,
,,1 jacarandá-da-baía),"R. Haddock Lobo, 220 ",,,*,
,,Dois prédios pertencentes ao Hosp. da Ord. 3ª de ,,,,,
,,"S. Francisco da Penitência: Pavilhão Central,",,,,,
,,"Lab. de Análises Clínicas, Banco de Sangue e",,,,,
,,Farmácia,"R. Conde de Bonfim, 987 ",,,*,
,,E. M. Affonso Penna,"R. Barão de Mesquita, 499 ",,,*,
,,E. M. Barão de Itacurussá,"R. Andrade Neves, 481",,,*,
,,Espécimes Arbóreas e Monumentos,Pça. Afonso Pena,,,*,
,,Hospital Universitário Gafrée Guinle e ,,,,,
,,Capela N. Sª. Da Conceição,"R. Silva Jardim, s/nº ",,,*,
,,Igreja de Santo Afonso,"R. Barão de Mesquita, 275 ",,,*,
,,Igreja Maronita N. Sª. do Líbano,"R. Conde de Bonfim, 638 ",,,*,
,,Igreja Matriz dos Nossos Sagrados Corações,"R. Conde de Bonfim, 474 ",,,*,
,,Matriz da Basílica de Santa Teresinha ,,,,,
,,do Menino Jesus de Praga,"R. Mariz e Barros, 254 ",,,*,
,,Prédio onde funcionou o Instituto La-Fayette,"R. Haddock Lobo, 269 ",,,*,
,,1º Batalhão de Polícia do Exército denominado ,,,,,
,,Batalhão Marechal Zenóbio da Costa,"R. Barão de Mesquita, 425 ",,,*,
,,Santuário da Medalha Milagrosa e ,,,,,
,,sua Capela Primitiva,"R. Doutor Satamini, 333 ",,,*,
,,Templo Igreja de S. Sebastião do Rio de Janeiro,"R. Haddock Lobo, 266",,,*,
,,Templo Igreja N. Sª. Da Conceição,"R. Conde de Bonfim, 1036 ",,,*,
,,,,,,,
,Pça da Bandeira,Estação Ferroviária Francisco Sá,R. Ceará,,,*,
,,,,,,,
,Alto da  Boa Vista,Chafariz,Praça Afonso Vizeu,*,,,
,,Museu do Açude,"Estr. do Açude, 764",*,,,
,,Palacete do Conde de Itamaraty,"R. Boa Vista, 12",*,*,,
,,Antiga Casa de Repouso A. da B. Vista,"Estr. das Furnas, 574",,,*,
,,Chalé sobre Porão Habitável,"Estr. da Gávea Pequena, 1.388",,,*,
,,Pqe. Nacional da Tijuca e Florestas de  ,,,,,
,,"Proteção acima das cotas 80 a 100 m, ",,,,,
,,inclusive Dois Irmãos e Pedra da Gávea,Parque Nacional da Tijuca,*,,,
,,Bebedouro,Estr. Velha da Tijuca,*,,,
,,Chalé,"Estr. Velha da Tijuca, 466",,*,,
,,Ponte de Cantaria,"Estr. Velha da Tijuca, próximo ao nº 1.251",,,*,
,,Museu do Açude,"Estrada do Açude, 764",*,,,
,,E. M. Menezes Vieira,"R. Boa Vista, 154",,,*,
IX Vila Isabel,,9,,-,3,6,
,Maracanã,Edificação Acastelada,"R. Ibituruna, 81",,*,,
,,Estação Ferroviária da Quinta da Boa Vista,"Av. Oswaldo Aranha, 680",,,*,
,,E.M. Barbara Otoni,"R. Senador Furtado, 94",,,*,
,,,,,,,
,Vila Isabel,Antiga Cia de Fiação e Tecidos Confiança,,,,,
,,Industrial (Conjunto Arquitetônico),R. Artidoro da Costa,,,*,
,,Calçadas (mosaico/pedras portuguesas),Boulevard 28 de Setembro,,,*,
,,Igreja de Nossa Senhora de Lourdes,"Boulevard 28 de Setembro, 200",,*,,
,,Antigo Jardim Zoológico,"R. Visc. de S. Isabel, s/nº",,*,,
,,C.E. João Alfredo,"Boulevard 28 de Setembro, 109",,,*,
,,E.M. República Argentina,"Boulevard 28 de Setembro, 125",,,*,
X Ramos,,5,,1,1,3,
,Manguinhos,Edifício da Fundação Oswaldo Cruz,"Av. Brasil, 4.365",*,,,
,,Igreja São Daniel Profeta,Estr. de Manguinhos - Parque São José,,*,,
,,,,,,,
,Ramos,Cinema,"R. Leopoldina Rego, 52",,,*,
,,,,,,,
,Bonsucesso,E.M. Bahia,"Av. Guilherme Maxwell, 243",,,*,
,,Painel em Afresco,"Av. Brasil, 8.191",,,*,
XI Penha,,5,,-,3,2,
,Penha,Santuário Mar. N.S. da Penha de França,"Largo da Penha, 19",,,*,
,,Estátua:Índia,Largo da Penha  ,,,*,
,,Reservatório da Penha (1914),R. Flora Lobo ,,*,,
,,,,,,,
,Penha Circular,Parque Ary Barroso,Av. Brás de Pina,,*,,
,,,,,,,
,Vigário Geral,Coreto,Praça Catolé do Rocha,,*,,
XII Inhaúma,,2,,1,-,1,
,Del Castilho,Fazenda Capão do Bispo (casa),"Av. Suburbana, 4.616",*,,,
,,,,,,,
,Inhaúma,E.M. Barão de Macaúbas,"R. Padre Januário, 220",,,*,
XIII Méier,,12,,1,1,10,
,Lins ,C.C.E.P. Lins de Vasconcelos,"R. Eng. Protero, 26",,,*,
,,,,,,,
,Encantado,Igreja de S. Pedro,"R. Guilhermina, 305",,,*,
,,,,,,,
,Piedade,Capela de N. S. de Piedade,R. da Capela,,,*,
,,Igreja do Divino Salvador,"R. Divino, 153",,,*,
,,,,,,,
,E. de Dentro,Estação Ferroviária,R. Amaro Cavalcanti,,,*,
,,Igreja N.S.C. de São José,"R. Amaro Cavalcanti, 1.761",,,*,
